≤„Œª÷√,∆Ã∑€∑Ω Ω,≥…–Õ∏◊Œª÷√£®mm£©,∑€¡œ∏◊Œª÷√£®mm£©,∆Ã∑€±€Œª÷√£®mm£©
72,÷–∆Ã∑€,2.101,0.000,6.049,2.131,0.000,0.881
73,÷–∆Ã∑€,2.131,0.000,6.047,2.161,0.000,1.893
74,÷–∆Ã∑€,2.161,0.000,6.052,2.191,0.000,1.675
75,÷–∆Ã∑€,2.191,0.000,6.062,2.221,0.000,0.915
76,÷–∆Ã∑€,2.221,0.000,6.048,2.251,0.000,1.526
77,÷–∆Ã∑€,2.251,0.000,6.048,2.281,0.000,1.645
78,÷–∆Ã∑€,2.281,0.000,6.045,2.311,0.000,0.687
79,÷–∆Ã∑€,2.311,0.000,6.047,2.341,0.000,1.643
80,÷–∆Ã∑€,2.341,0.000,6.056,2.371,0.000,1.199
81,÷–∆Ã∑€,2.371,0.000,6.047,2.401,0.000,1.711
82,÷–∆Ã∑€,2.401,0.000,6.048,2.431,0.000,1.731
83,÷–∆Ã∑€,2.431,0.000,6.052,2.461,0.000,1.597
84,÷–∆Ã∑€,2.461,0.000,6.067,2.491,0.000,1.311
85,÷–∆Ã∑€,2.491,0.000,6.056,2.521,0.000,1.347
86,÷–∆Ã∑€,2.521,0.000,6.051,2.551,0.000,2.286
87,÷–∆Ã∑€,2.551,0.000,6.063,2.581,0.000,0.472
88,÷–∆Ã∑€,2.581,0.000,6.064,2.611,0.000,1.376
89,÷–∆Ã∑€,2.611,0.000,6.044,2.641,0.000,1.025
90,÷–∆Ã∑€,2.641,0.000,6.049,2.671,0.000,1.162
91,÷–∆Ã∑€,2.671,0.000,6.056,2.701,0.000,0.482
92,÷–∆Ã∑€,2.701,0.000,6.054,2.731,0.000,1.964
93,÷–∆Ã∑€,2.731,0.000,6.040,2.761,0.000,2.240
94,÷–∆Ã∑€,2.761,0.000,6.063,2.791,0.000,0.909
95,÷–∆Ã∑€,2.791,0.000,6.049,2.821,0.000,1.940
96,÷–∆Ã∑€,2.821,0.000,6.057,2.851,0.000,2.042
97,÷–∆Ã∑€,2.851,0.000,6.044,2.881,0.000,0.471
98,÷–∆Ã∑€,2.881,0.000,6.055,2.911,0.000,1.722
99,÷–∆Ã∑€,2.911,0.000,6.043,2.941,0.000,1.387
100,÷–∆Ã∑€,2.941,0.000,6.048,2.971,0.000,1.081
101,÷–∆Ã∑€,2.971,0.000,6.045,3.001,0.000,1.346
102,÷–∆Ã∑€,3.001,0.000,6.054,3.031,0.000,2.188
103,÷–∆Ã∑€,3.031,0.000,6.057,3.061,0.000,1.487
104,÷–∆Ã∑€,3.061,0.000,6.056,3.091,0.000,0.883
105,÷–∆Ã∑€,3.091,0.000,6.047,3.121,0.000,0.711
106,÷–∆Ã∑€,3.121,0.000,6.055,3.151,0.000,0.633
107,÷–∆Ã∑€,3.151,0.000,6.053,3.181,0.000,1.572
108,÷–∆Ã∑€,3.181,0.000,6.054,3.211,0.000,0.574
109,÷–∆Ã∑€,3.211,0.000,6.050,3.241,0.000,0.660
110,÷–∆Ã∑€,3.241,0.000,6.052,3.271,0.000,1.921
111,÷–∆Ã∑€,3.271,0.000,6.061,3.301,0.000,0.636
112,÷–∆Ã∑€,3.301,0.000,6.054,3.331,0.000,1.987
113,÷–∆Ã∑€,3.331,0.000,6.057,3.361,0.000,1.485
114,÷–∆Ã∑€,3.361,0.000,6.055,3.391,0.000,1.993
115,÷–∆Ã∑€,3.391,0.000,6.055,3.421,0.000,1.174
116,÷–∆Ã∑€,3.421,0.000,6.049,3.451,0.000,1.941
117,÷–∆Ã∑€,3.451,0.000,6.051,3.481,0.000,2.078
118,÷–∆Ã∑€,3.481,0.000,6.056,3.511,0.000,1.016
119,÷–∆Ã∑€,3.511,0.000,6.047,3.541,0.000,2.741
120,÷–∆Ã∑€,3.541,0.000,6.047,3.571,0.000,1.317
121,÷–∆Ã∑€,3.571,0.000,6.045,3.601,0.000,2.007
122,÷–∆Ã∑€,3.601,0.000,6.054,3.631,0.000,1.400
123,÷–∆Ã∑€,3.631,0.000,6.050,3.661,0.000,2.196
124,÷–∆Ã∑€,3.661,0.000,6.050,3.691,0.000,2.491
125,÷–∆Ã∑€,3.691,0.000,6.055,3.721,0.000,1.874
126,÷–∆Ã∑€,3.721,0.000,6.058,3.751,0.000,1.252
127,÷–∆Ã∑€,3.751,0.000,6.057,3.781,0.000,1.925
128,÷–∆Ã∑€,3.781,0.000,6.051,3.811,0.000,1.767
129,÷–∆Ã∑€,3.811,0.000,6.048,3.841,0.000,1.510
130,÷–∆Ã∑€,3.841,0.000,6.061,3.871,0.000,0.703
131,÷–∆Ã∑€,3.871,0.000,6.050,3.901,0.000,2.444
132,÷–∆Ã∑€,3.901,0.000,6.049,3.931,0.000,1.879
133,÷–∆Ã∑€,3.931,0.000,6.060,3.961,0.000,1.814
134,÷–∆Ã∑€,3.961,0.000,6.054,3.991,0.000,0.951
135,÷–∆Ã∑€,3.991,0.000,6.055,4.021,0.000,2.042
136,÷–∆Ã∑€,4.021,0.000,6.054,4.051,0.000,1.867
137,÷–∆Ã∑€,4.051,0.000,6.049,4.081,0.000,0.873
138,÷–∆Ã∑€,4.081,0.000,6.044,4.111,0.000,1.990
139,÷–∆Ã∑€,4.111,0.000,6.054,4.141,0.000,1.803
140,÷–∆Ã∑€,4.141,0.000,6.057,4.171,0.000,0.649
141,÷–∆Ã∑€,4.171,0.000,6.061,4.201,0.000,1.531
142,÷–∆Ã∑€,4.201,0.000,6.053,4.231,0.000,1.999
143,÷–∆Ã∑€,4.231,0.000,6.045,4.261,0.000,2.597
144,÷–∆Ã∑€,4.261,0.000,6.052,4.291,0.000,1.052
145,÷–∆Ã∑€,4.291,0.000,6.061,4.321,0.000,2.165
146,÷–∆Ã∑€,4.321,0.000,6.046,4.351,0.000,1.704
147,÷–∆Ã∑€,4.351,0.000,6.052,4.381,0.000,0.715
148,÷–∆Ã∑€,4.381,0.000,6.053,4.411,0.000,1.697
149,÷–∆Ã∑€,4.411,0.000,6.061,4.441,0.000,1.911
150,÷–∆Ã∑€,4.441,0.000,6.052,4.471,0.000,1.630
151,÷–∆Ã∑€,4.471,0.000,6.048,4.501,0.000,0.895
152,÷–∆Ã∑€,4.501,0.000,6.050,4.531,0.000,1.155
153,÷–∆Ã∑€,4.531,0.000,6.056,4.561,0.000,1.686
154,÷–∆Ã∑€,4.561,0.000,6.051,4.591,0.000,2.566
155,÷–∆Ã∑€,4.591,0.000,6.047,4.621,0.000,0.779
156,÷–∆Ã∑€,4.621,0.000,6.049,4.651,0.000,0.558
157,÷–∆Ã∑€,4.651,0.000,6.048,4.681,0.000,1.038
