日期时间,耗时(s),层位置,氧含量(PPM),舱内温度(℃),基板温度(℃),风速,舱内压力(kPa),风机频率(Hz),湿度(%),水温(℃)
2021-04-22 14:25:59,0,1,755.010,24.48,130.00,125.69,1.99,0.00,0.00,0.00
2021-04-22 14:26:09,10,1,768.183,24.54,130.00,125.44,2.01,0.00,0.00,0.00
2021-04-22 14:26:19,20,1,778.167,24.44,130.00,126.62,2.11,0.00,0.00,0.00
2021-04-22 14:26:29,30,1,785.080,24.48,130.00,126.40,1.85,0.00,0.00,0.00
2021-04-22 14:26:39,40,1,789.659,24.52,130.00,125.16,2.07,0.00,0.00,0.00
2021-04-22 14:26:49,50,1,792.566,24.46,130.00,126.59,2.05,0.00,0.00,0.00
2021-04-22 14:26:59,60,1,794.038,24.49,130.10,125.47,2.29,0.00,0.00,0.00
2021-04-22 14:27:09,70,1,794.682,24.49,130.00,126.18,2.17,0.00,0.00,0.00
2021-04-22 14:27:20,80,1,794.929,24.45,130.10,125.99,2.01,0.00,0.00,0.00
2021-04-22 14:27:30,90,1,794.875,24.49,130.10,125.96,1.89,0.00,0.00,0.00
2021-04-22 14:27:40,100,1,794.556,24.52,130.10,126.08,1.99,0.00,0.00,0.00
2021-04-22 14:27:50,110,1,794.043,24.51,130.20,126.05,2.07,0.00,0.00,0.00
2021-04-22 14:28:00,120,1,793.383,24.48,130.20,126.27,1.89,0.00,0.00,0.00
2021-04-22 14:28:10,130,1,792.812,24.48,130.20,126.02,1.91,0.00,0.00,0.00
2021-04-22 14:28:20,140,1,792.271,24.52,130.30,125.47,2.17,0.00,0.00,0.00
2021-04-22 14:28:30,150,1,791.692,24.51,130.20,126.36,2.05,0.00,0.00,0.00
2021-04-22 14:28:40,160,1,790.999,24.52,130.20,126.17,1.89,0.00,0.00,0.00
2021-04-22 14:28:50,170,1,790.070,24.44,130.30,126.12,1.95,0.00,0.00,0.00
2021-04-22 14:29:00,180,1,789.016,24.51,130.20,126.39,1.89,0.00,0.00,0.00
2021-04-22 14:29:10,190,1,788.036,24.55,130.30,125.91,1.65,0.00,0.00,0.00
2021-04-22 14:29:20,201,1,787.166,24.52,130.60,126.06,1.63,0.00,0.00,0.00
2021-04-22 14:29:30,211,1,786.288,24.41,130.60,125.57,1.75,0.00,0.00,0.00
2021-04-22 14:29:40,221,1,785.476,24.48,130.50,125.49,1.99,0.00,0.00,0.00
2021-04-22 14:29:50,231,1,784.828,24.46,130.60,126.12,1.93,0.00,0.00,0.00
2021-04-22 14:30:00,241,1,784.079,24.52,130.60,125.69,1.75,0.00,0.00,0.00
